,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
66,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
67,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
68,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
69,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
70,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
71,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
72,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
73,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
74,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
75,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
76,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
77,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
78,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
79,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
80,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
81,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
82,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
83,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
84,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
85,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
86,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
87,91,31,12469833.000000002,1.1965e-05,15.516136279383627,6.6254653950097415,0.0,91,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
88,91,31,12469833.000000002,1.1965e-05,15.516136279383627,6.6254653950097415,0.0,91,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
89,91,31,12469833.000000002,1.1965e-05,15.516136279383627,6.6254653950097415,0.0,91,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
90,91,31,12469833.000000002,1.1965e-05,15.516136279383627,6.6254653950097415,0.0,91,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
91,91,31,12469833.000000002,1.1965e-05,15.516136279383627,6.6254653950097415,0.0,91,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
92,91,31,12469833.000000002,1.1965e-05,15.516136279383627,6.6254653950097415,0.0,91,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
93,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
94,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
95,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
96,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
97,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
98,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
99,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
100,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
101,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
102,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
103,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
104,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
105,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
106,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
107,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
108,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
